,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd
201,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,1,2011.5251
202,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,1,2063.0
203,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,1,1996.1948
204,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,1,1969.439
205,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,2,1554.4515
206,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,2,1992.0278
207,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,2,2046.7648
208,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,2,1943.609
209,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,2,1963.4966
210,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,3,1556.2029
211,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,3,1968.833
212,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,3,2086.3652
213,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,3,1974.5852
214,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,3,1958.3081
215,"tensor(0.0603, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,4,1514.5253
216,"tensor(0.0603, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,4,1974.8721
217,"tensor(0.0603, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,4,2030.5763
218,"tensor(0.0603, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,4,1984.258
219,"tensor(0.0603, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,4,1968.135
220,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,1,1579.0792
221,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,1,1986.1182
222,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,1,2103.2183
223,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,1,2046.033
224,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,1,2016.7848
225,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,2,1452.051
226,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,2,2024.8052
227,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,2,2107.3267
228,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,2,2037.8033
229,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,2,2026.6404
230,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,3,1443.8735
231,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,3,1981.9882
232,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,3,2075.917
233,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,3,2045.4082
234,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,3,2064.5774
235,"tensor(0.1640, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,4,1432.7454
236,"tensor(0.1640, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,4,1947.1184
237,"tensor(0.1640, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,4,2176.7021
238,"tensor(0.1640, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,4,1990.4841
239,"tensor(0.1640, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,4,2047.3777
240,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,1,1528.7842
241,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,1,1968.5751
242,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,1,2112.8125
243,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,1,2204.0469
244,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,1,2116.2307
245,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,2,1471.0968
246,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,2,1931.569
247,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,2,2108.004
248,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,2,2133.6953
249,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,2,2074.5046
250,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,3,1427.6427
251,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,3,1892.3356
252,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,3,2099.603
253,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,3,2114.5112
254,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,3,2044.4697
255,"tensor(0.4458, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,4,1395.7349
256,"tensor(0.4458, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,4,1839.9554
257,"tensor(0.4458, dtype=torch.float64)","tensor(0.4458, dtype=torch.float64)",3,4,2119.4673
258,"tensor(0.4458, dtype=torch.float64)","tensor(1.2118, dtype=torch.float64)",3,4,2081.6895
259,"tensor(0.4458, dtype=torch.float64)","tensor(3.2941, dtype=torch.float64)",3,4,2029.3403
260,"tensor(1.2118, dtype=torch.float64)","tensor(0.0603, dtype=torch.float64)",3,1,1371.4541
261,"tensor(1.2118, dtype=torch.float64)","tensor(0.1640, dtype=torch.float64)",3,1,1743.502
