,fit_l,mmd_l,fit_alpha,mmd_alpha,mmd,mmd_ratio,label
164,"tensor(1.1860, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,1,-0.0001615866134307975,-177.68917361193968,164
165,"tensor(1.1860, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,2,0.003148339040239208,2.7881438229087556,165
166,"tensor(1.1860, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,2,0.003354744418759277,11.15313057773329,166
167,"tensor(1.1860, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,2,0.0016909953379329323,63.841645054531874,167
168,"tensor(1.1860, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,2,0.0023064922935295273,54.94200501298697,168
169,"tensor(1.1860, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,2,0.0010010761323072659,28.83690447346193,169
170,"tensor(1.1860, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,3,0.0028802507029934248,2.5796009610771655,170
171,"tensor(1.1860, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,3,0.003647053635689554,9.192065173053662,171
172,"tensor(1.1860, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,3,0.0014641469266613028,72.60333254902152,172
173,"tensor(1.1860, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,3,0.0002349933022482431,571.5318631508993,173
174,"tensor(1.1860, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,3,0.001220459967629095,23.584697912368057,174
175,"tensor(1.1860, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,4,0.002749606420684822,2.50374733606912,175
176,"tensor(1.1860, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,4,0.0034624546216410826,9.149775015695116,176
177,"tensor(1.1860, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,4,0.001673138595693513,62.69813740547462,177
178,"tensor(1.1860, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,4,0.0005485759462349749,252.46344286425287,178
179,"tensor(1.1860, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,4,7.937522345247139e-05,361.6241752869821,179
180,"tensor(3.2238, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,1,0.007867821744467242,1.8723518687213532,180
181,"tensor(3.2238, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,1,0.007852915819714729,6.125058142007412,181
182,"tensor(3.2238, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,1,0.012368641867197633,8.596954530559755,182
183,"tensor(3.2238, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,1,0.005730072098858341,19.02745265749117,183
184,"tensor(3.2238, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,1,0.000512906615051989,55.97937512340341,184
185,"tensor(3.2238, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,2,0.005622584771730417,1.5612075946991701,185
186,"tensor(3.2238, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,2,0.00918555786320064,4.073340249397426,186
187,"tensor(3.2238, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,2,0.014144905157818688,7.6321419584428325,187
188,"tensor(3.2238, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,2,0.007006398979130024,18.086796303063256,188
189,"tensor(3.2238, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,2,0.001313366007255401,21.98011570158875,189
190,"tensor(3.2238, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,3,0.004654052855537532,1.59643599078268,190
191,"tensor(3.2238, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,3,0.010270178105969648,3.264203830057683,191
192,"tensor(3.2238, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,3,0.014843182621234186,7.161668014846506,192
193,"tensor(3.2238, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,3,0.008063448535611306,16.656168792889652,193
194,"tensor(3.2238, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,3,0.0004525459314110858,63.60499046123032,194
195,"tensor(3.2238, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",2,4,0.004265306954492929,1.6140268038098553,195
196,"tensor(3.2238, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",2,4,0.011294712376314832,2.8049125763046865,196
197,"tensor(3.2238, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",2,4,0.014955954976708263,7.014107339488883,197
198,"tensor(3.2238, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",2,4,0.00606839989266722,22.822387203972596,198
199,"tensor(3.2238, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",2,4,0.00045564987931512313,62.99573646845734,199
200,"tensor(0.0590, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",3,1,0.0032853953593556633,4.483883714046783,200
201,"tensor(0.0590, dtype=torch.float64)","tensor(0.1605, dtype=torch.float64)",3,1,0.011539164815747113,4.1683749862384,201
202,"tensor(0.0590, dtype=torch.float64)","tensor(0.4363, dtype=torch.float64)",3,1,0.029996807231362582,3.5447989820030483,202
203,"tensor(0.0590, dtype=torch.float64)","tensor(1.1860, dtype=torch.float64)",3,1,0.02715202083141588,4.015490274627662,203
204,"tensor(0.0590, dtype=torch.float64)","tensor(3.2238, dtype=torch.float64)",3,1,0.004977722452155442,5.768138357098932,204
205,"tensor(0.0590, dtype=torch.float64)","tensor(0.0590, dtype=torch.float64)",3,2,0.003187982110511944,2.7534728060490288,205
